antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'sausage'}),frozenset({'bottled beer'}),0.06034886052262247,0.04531176903027468,0.003341575887188398,0.05537098560354374,1.2220000849348451,1.0,0.0006070622579470671,1.0106488541215264,0.19333712660028446,0.03265839320705421,0.010536650863550923,0.06455864914395476
frozenset({'bottled beer'}),frozenset({'sausage'}),0.04531176903027468,0.06034886052262247,0.003341575887188398,0.07374631268436578,1.2220000849348451,1.0,0.0006070622579470671,1.0144641282892708,0.19029191459572978,0.03265839320705421,0.01425790019176139,0.06455864914395476
frozenset({'yogurt'}),frozenset({'citrus fruit'}),0.08587850030074183,0.05313105660629553,0.004611374724319989,0.053696498054474705,1.0106423904265471,1.0,4.8559263577507145e-05,1.0005975265303537,0.011519609401323518,0.03431128791645947,0.0005971697056115884,0.07024447544233169
frozenset({'citrus fruit'}),frozenset({'yogurt'}),0.05313105660629553,0.08587850030074183,0.004611374724319989,0.08679245283018867,1.0106423904265471,1.0,4.8559263577507145e-05,1.0010008157863777,0.01112120393783901,0.03431128791645947,0.0009998151555865708,0.07024447544233169
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.037759807525228894,0.12210118291786407,0.005146026866270133,0.13628318584070798,1.1161495948191098,1.0,0.0005355097006888195,1.0164197369905876,0.1081463334554042,0.03326133909287257,0.016154484602201084,0.08921438985521989
frozenset({'other vegetables'}),frozenset({'frankfurter'}),0.12210118291786407,0.037759807525228894,0.005146026866270133,0.042145593869731796,1.1161495948191096,1.0,0.0005355097006888195,1.0045787609436612,0.11853615324991701,0.03326133909287257,0.004557891448312051,0.08921438985521989
frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.03401724253157789,0.11000467820624206,0.003742564993651006,0.11001964636542241,1.0001360683874942,1.0,5.091755010894553e-07,1.0000168185276441,0.0001408408942657731,0.026679371129109102,1.681824478603515e-05,0.07202075878416929
frozenset({'rolls/buns'}),frozenset({'fruit/vegetable juice'}),0.11000467820624206,0.03401724253157789,0.003742564993651006,0.034021871202916165,1.0001360683874942,1.0,5.091755010894553e-07,1.000004791693725,0.00015286583207310087,0.026679371129109102,4.791670764814375e-06,0.07202075878416929
frozenset({'sausage'}),frozenset({'pastry'}),0.06034886052262247,0.0517275947336764,0.003207912851700862,0.05315614617940199,1.0276168156103256,1.0,8.621145194748431e-05,1.0015087508251348,0.028600640113797975,0.029465930018416207,0.0015064779253218677,0.057585825027685486
frozenset({'pastry'}),frozenset({'sausage'}),0.0517275947336764,0.06034886052262247,0.003207912851700862,0.06201550387596899,1.0276168156103256,1.0,8.621145194748431e-05,1.0017768346494356,0.028340615970117666,0.029465930018416207,0.001773683107832432,0.057585825027685486
frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.04758404063356279,0.06957160997126245,0.003341575887188398,0.0702247191011236,1.0093875810856026,1.0,3.107757137346375e-05,1.0007024376139897,0.009764928776927946,0.029359953024075156,0.0007019445417405808,0.059127729387257286
frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.06957160997126245,0.04758404063356279,0.003341575887188398,0.04803073967339097,1.0093875810856028,1.0,3.107757137346375e-05,1.0004692368319488,0.009995690274385877,0.029359953024075156,0.00046901675201383206,0.059127729387257286
frozenset({'sausage'}),frozenset({'soda'}),0.06034886052262247,0.09710619528169484,0.005948005079195348,0.09856035437430785,1.0149749363405152,1.0,8.775684425780649e-05,1.0016131519172353,0.015701567919190695,0.03925893250992501,0.0016105538492056613,0.07990646762073961
frozenset({'soda'}),frozenset({'sausage'}),0.09710619528169484,0.06034886052262247,0.005948005079195348,0.06125258086717137,1.0149749363405152,1.0,8.775684425780649e-05,1.000962687434479,0.016340787930704752,0.03925893250992501,0.0009617615587116068,0.07990646762073961
frozenset({'sausage'}),frozenset({'yogurt'}),0.06034886052262247,0.08587850030074183,0.005747510525964045,0.09523809523809523,1.1089864739670185,1.0,0.0005648408894225838,1.0103448154570749,0.10458748221906108,0.04091341579448145,0.010238895967803696,0.08108208263850286
frozenset({'yogurt'}),frozenset({'sausage'}),0.08587850030074183,0.06034886052262247,0.005747510525964045,0.0669260700389105,1.1089864739670185,1.0,0.0005648408894225838,1.007048969331468,0.1075084076619388,0.04091341579448145,0.006999629160186191,0.08108208263850286
